,cnpj_basico,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,pais,data_inicio_atividades,cnae_fiscal,cnae_fiscal_secundaria,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,municipio,ddd1,telefone1,ddd2,telefone2,ddd_fax,fax,correio_eletronico,situacao_especial,data_situacao_especial,cnpj,cnpj_basico,razao_social,natureza_juridica,qualificacao_responsavel,porte_empresa,ente_federativo_responsavel,capital_social
0,41675024,0001,28,1,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 568 SCP.,02,20200930,00,,,20200930,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8660700,8711503,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,,,,41675024000128,41675024,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 568 SCP.,2127,05,05,,179.28
1,41675049,0001,21,1,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 617 SCP.,02,20210201,00,,,20210201,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,,,,41675049000121,41675049,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 617 SCP.,2127,05,05,,179.28
2,41677609,0001,87,1,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 623 SCP.,02,20210201,00,,,20210201,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,,,,41677609000187,41677609,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 623 SCP.,2127,05,05,,179.28
3,41721413,0001,42,1,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 618 SCP.,02,20210201,00,,,20210201,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650099,8650006,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,,,,41721413000142,41721413,MEDICALMAIS SERVICOS EM SAUDE LTDA MAT 618 SCP.,2127,05,05,,179.28
4,42307878,0001,14,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 652,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42307878000114,42307878,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 652,2127,05,05,,179.28
5,42307912,0001,50,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 644,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42307912000150,42307912,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 644,2127,05,05,,179.28
6,42307940,0001,78,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 636,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42307940000178,42307940,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 636,2127,05,05,,179.28
7,42307965,0001,71,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 634,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8711503,8800600,8660700,8650099",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42307965000171,42307965,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 634,2127,05,05,,179.28
8,42321003,0001,77,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 659,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42321003000177,42321003,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 659,2127,05,05,,179.28
9,42321066,0001,23,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 660,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42321066000123,42321066,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 660,2127,05,05,,179.28
10,42321169,0001,93,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 668,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42321169000193,42321169,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 668,2127,05,05,,179.28
11,42321223,0001,09,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 645,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42321223000109,42321223,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 645,2127,05,05,,179.28
12,42327356,0001,84,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 647,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42327356000184,42327356,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 647,2127,05,05,,179.28
13,42327404,0001,34,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 658,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42327404000134,42327404,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 658.,2127,05,05,,179.28
14,42338846,0001,86,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 642.,02,20210323,00,,,20210323,8610101,"8621601,8630501,8610102,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42338846000186,42338846,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 642.,2127,05,05,,179.28
15,42338892,0001,85,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 664,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42338892000185,42338892,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 664.,2127,05,05,,179.28
16,42338937,0001,11,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 653.,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42338937000111,42338937,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 653.,2127,05,05,,179.28
17,42339302,0001,39,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 637.,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42339302000139,42339302,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 637.,2127,05,05,,179.28
18,42339328,0001,87,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 666,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42339328000187,42339328,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 666,2127,05,05,,179.28
19,42351252,0001,05,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 679.,02,20210510,00,,,20210510,8610101,"8610102,8630501,8630502,8621601,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600,8640299",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42351252000105,42351252,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 679.,2127,05,05,,179.28
20,42351463,0001,48,1,MEDICALMAIS SERVICOS EM SAUDE LTDASCP MAT 598.,02,20210104,00,,,20210104,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42351463000148,42351463,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 598,2127,05,05,,179.28
21,42351014,0001,08,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 640,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42351014000108,42351014,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 640,2127,05,05,,179.28
22,42351980,0001,17,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 641.,08,20210712,01,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42351980000117,42351980,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 641.,2127,05,05,,179.28
23,42360042,0001,83,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 655.,02,20210323,00,,,20210323,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31336780,,,,,MEDICALMAIS@BOL.COM.BR,,,42360042000183,42360042,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 655.,2127,05,05,,179.28
24,42363316,0001,98,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 662.,02,20210323,00,,,20210323,8610101,"8610102,8630501,8621601,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8800600,8660700",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42363316000198,42363316,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 662.,2127,05,05,,179.28
25,42363399,0001,15,1,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 675.,02,20210421,00,,,20210421,8610101,"8610102,8621601,8630501,8630502,8630503,8630504,8630507,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650099,8711503,8660700,8800600",RUA,WALTER DA SILVA CASE,136,      A,MAURICIO DE NASSAU,55014770,PE,2381,81,31366780,,,,,MEDICALMAIS@BOL.COM.BR,,,42363399000115,42363399,MEDICALMAIS SERVICOS EM SAUDE LTDA SCP MAT 675.,2127,05,05,,179.28
